Store ID,Product ID,Week,Units_Sold,ML_Prediction,Baseline_Prediction,Fold
0,0,2023-07-31,154,201.12142615803054,382.0,1
0,0,2023-07-31,115,277.66459749017906,319.0,1
0,0,2023-07-31,55,33.15992626220936,23.0,1
0,0,2023-07-31,23,244.66806531016556,746.0,1
0,0,2023-07-31,187,111.46318846129299,154.0,1
0,0,2023-07-31,435,226.36251028017904,115.0,1
0,0,2023-08-07,46,80.00014499524754,55.0,1
0,0,2023-08-07,14,67.80607468386641,23.0,1
0,0,2023-08-07,176,184.64047497030992,187.0,1
0,0,2023-08-07,90,212.4415691689985,435.0,1
0,0,2023-08-07,145,91.39481994149087,46.0,1
0,0,2023-08-07,455,242.22122663008645,14.0,1
0,0,2023-08-07,335,237.073580413526,176.0,1
0,0,2023-08-14,293,168.26211320068734,90.0,1
0,0,2023-08-14,50,31.53000571794426,145.0,1
0,0,2023-08-14,289,213.44567799726042,455.0,1
0,0,2023-08-14,31,88.3964708246058,335.0,1
0,0,2023-08-14,72,191.34431677269,293.0,1
0,0,2023-08-14,225,128.46906294495423,50.0,1
0,0,2023-08-14,39,160.1335466128293,289.0,1
0,0,2023-08-21,296,295.07881139925826,31.0,1
0,0,2023-08-21,115,65.24195194611104,72.0,1
0,0,2023-08-21,33,213.12864338975425,225.0,1
0,0,2023-08-21,244,130.35233054265643,39.0,1
0,0,2023-08-21,143,90.34732452677052,296.0,1
0,0,2023-08-21,150,140.76139656878783,115.0,1
0,0,2023-08-28,0,55.23151559077441,33.0,1
0,0,2023-08-28,62,46.369935191408224,244.0,1
0,0,2023-08-28,189,96.97520270485745,143.0,1
0,0,2023-08-28,317,190.14165153067123,150.0,1
0,0,2023-08-28,90,59.81208098897005,0.0,1
0,0,2023-08-28,64,86.73243473262532,62.0,1
0,0,2023-09-04,384,202.2162956917855,189.0,1
0,0,2023-09-04,25,24.738055199553276,317.0,1
0,0,2023-09-04,127,68.45901408165986,90.0,1
0,0,2023-09-04,105,256.07897034948087,64.0,1
0,0,2023-09-04,130,265.3162456711953,384.0,1
0,0,2023-09-11,122,223.41130229231538,25.0,1
0,0,2023-09-11,139,227.71757227444488,127.0,1
0,0,2023-09-11,34,126.66021879956426,105.0,1
0,0,2023-09-11,18,40.74390580198555,130.0,1
0,0,2023-09-11,46,105.48620845321386,122.0,1
0,0,2023-09-11,93,90.25073876801507,139.0,1
0,0,2023-09-11,10,43.19440569574971,34.0,1
0,1,2023-07-24,240,197.18905312485242,93.0,1
0,1,2023-07-31,241,125.59341516351469,149.0,1
0,1,2023-07-31,34,67.08583069836453,178.0,1
0,1,2023-07-31,46,149.14128678055013,150.0,1
0,1,2023-07-31,37,56.35976202779024,240.0,1
0,1,2023-07-31,148,153.58151317734126,241.0,1
0,1,2023-07-31,136,151.34256111380083,34.0,1
0,1,2023-07-31,305,199.68200079503953,46.0,1
0,1,2023-08-07,32,27.55712131223614,37.0,1
0,1,2023-08-07,48,81.38456008557417,148.0,1
0,1,2023-08-07,36,23.734498778399566,136.0,1
0,1,2023-08-07,112,193.42128858902885,305.0,1
0,1,2023-08-07,430,476.927377947926,32.0,1
0,1,2023-08-07,46,180.98201483283458,48.0,1
0,1,2023-08-14,55,204.281999467849,36.0,1
0,1,2023-08-14,11,228.65533055846862,112.0,1
0,1,2023-08-14,102,90.90469027862892,430.0,1
0,1,2023-08-14,236,265.36476166000847,46.0,1
0,1,2023-08-14,22,109.88485667198425,55.0,1
0,1,2023-08-14,84,214.17256946508064,11.0,1
0,1,2023-08-14,70,38.100162298171746,102.0,1
0,1,2023-08-21,58,152.9489072319656,236.0,1
0,1,2023-08-21,237,236.6019969715067,22.0,1
0,1,2023-08-21,261,251.87888786303188,84.0,1
0,1,2023-08-21,120,138.0050396574896,70.0,1
0,1,2023-08-21,12,241.9583905194422,58.0,1
0,1,2023-08-21,152,194.8406848594172,237.0,1
0,1,2023-08-28,234,332.7702104911719,261.0,1
0,1,2023-08-28,63,57.807855690721965,120.0,1
0,1,2023-08-28,5,59.54009998329471,12.0,1
0,1,2023-08-28,104,208.9890935511964,152.0,1
0,1,2023-08-28,69,110.39344402022186,234.0,1
